"id","name","alt_names","minister","dep_minister","capital_id","deleted_at","created_at","updated_at","capital_name"
1,"Ahafo",,"NULL","NULL",1,"NULL","NULL","2019-07-24 11:30:51","GOASO"
2,"Ashanti",,"NULL","NULL",26,"NULL","NULL","2019-07-24 11:31:52","KUMASI"
3,"Bono",,"NULL","NULL",57,"NULL","NULL","2019-07-24 11:32:06","SUNYANI"
4,"Bono East",,"NULL","NULL",70,"NULL","NULL","2019-07-24 11:32:21","TECHIMAN"
5,"Central",,"NULL","NULL",82,"NULL","NULL","2019-07-24 11:34:07","CAPE COAST"
6,"Eastern",,"NULL","NULL",114,"NULL","NULL","2020-08-21 10:26:38","KOFORIDUA"
7,"Greater Accra",,"NULL","NULL",128,"NULL","NULL","2019-07-24 11:34:27","ACCRA"
8,"North East",,"NULL","NULL",262,"NULL","NULL","2019-07-24 11:41:58","NALERIGU"
9,"Northern",,"NULL","NULL",173,"NULL","NULL","2019-07-24 11:34:43","TAMALE"
10,"Oti",,"NULL","NULL",182,"NULL","NULL","2019-07-24 11:34:54","DAMBAI"
11,"Savannah",,"NULL","NULL",192,"NULL","NULL","2019-07-24 11:35:07","DAMANGO"
12,"Upper East",,"NULL","NULL",197,"NULL","NULL","2019-07-24 11:35:17","BOLGATANGA"
13,"Upper West",,"NULL","NULL",218,"NULL","NULL","2019-07-24 12:17:19","WA"
14,"Volta",,"NULL","NULL",226,"NULL","NULL","2019-07-24 11:37:22","HO"
15,"Western",,"NULL","NULL",261,"NULL","NULL","2019-07-24 11:39:46","TAKORADI"
16,"Western North",,"NULL","NULL",259,"NULL","NULL","2019-07-24 11:38:28","WIAWSO"